名称,住所
R_鹿児島中央駅前,"鹿児島県鹿児島市武1-2-10鹿児島中央ビル4,5F"
R_鹿児島天文館,鹿児島県鹿児島市西千石町11-21鹿児島MSビル
R_ホークシティ那覇,"沖縄県那覇市松尾1-10-24ホークシティ那覇ビル1F,4F,5F"
R_COI那覇ビル,"沖縄県那覇市久米2-3-15COI那覇ビル5F,7F"
WeWork 渋谷スクランブルスクエア,東京都渋谷区渋谷2-24-12 渋谷スクランブルスクエア 39F
WeWork アイスバーグ,東京都渋谷区神宮前 6-12-18 The Iceberg 1F
WeWork ジ アーガイル アオヤマ,東京都港区北青山 2-14-4 the ARGYLE aoyama 6F
WeWork 乃木坂,東京都港区南青山1-24-3 1F
WeWork 品川,東京都港区高輪4-10-18 京急第1ビル 13F
WeWork TK 池田山,東京都品川区東五反田5-22-33 TK池田山ビル 2F
WeWork リンクスクエア新宿,東京都渋谷区千駄ヶ谷5-27-5 リンクスクエア新宿 16F
WeWork Dタワー 西新宿,東京都新宿区西新宿6-11-3 Dタワー西新宿 16F
WeWork メトロポリタンプラザビル,東京都豊島区西池袋1-11-1 メトロポリタンプラザビル 14F
WeWork Hareza 池袋,東京都豊島区東池袋1-18-1 Hareza Tower 20F
WeWork 麹町,東京都千代田区麹町6-6-2 番町麹町ビルディング 5F
WeWork 日テレ四谷ビル,東京都千代田区麹町5-3-23 日テレ四谷ビル 1F
WeWork 半蔵門 PREX North,東京都千代田区麹町2-3-2 半蔵門PREX North 2F
WeWork 半蔵門 PREX South,東京都千代田区麹町2-5-1 半蔵門PREX South 2F
WeWork 神谷町トラストタワー,東京都港区虎ノ門4-1-1 神谷町トラストタワー 23F
WeWork 城山トラストタワー,東京都港区虎ノ門4-3-1 城山トラストタワー 21F
WeWork アークヒルズサウス,東京都港区六本木1-4-5 アークヒルズサウスタワー 16F
WeWork KDX 虎ノ門１丁目,東京都港区虎ノ門1-10-5 KDX虎ノ門一丁目ビル 11F
